"Pattern","Cohort","r","var","span","sex"
"L",1905,0.248606966536343,"HOSPNIGHTS",0.5,"m"
"M",1905,0.734089735899983,"HOSPNIGHTS",0.5,"m"
"T",1910,0.883231823642628,"HOSPNIGHTS",0.5,"m"
"A",1910,0.121087097889537,"HOSPNIGHTS",0.5,"m"
"L",1910,0.390396488734422,"HOSPNIGHTS",0.5,"m"
"M",1910,0.531592724143084,"HOSPNIGHTS",0.5,"m"
"T",1915,0.895848367879436,"HOSPNIGHTS",0.5,"m"
"A",1915,0.164179990170223,"HOSPNIGHTS",0.5,"m"
"L",1915,0.395220253239217,"HOSPNIGHTS",0.5,"m"
"M",1915,0.551249604401404,"HOSPNIGHTS",0.5,"m"
"T",1920,0.86349728342609,"HOSPNIGHTS",0.5,"m"
"A",1920,0.0380188665644964,"HOSPNIGHTS",0.5,"m"
"L",1920,0.582193682458978,"HOSPNIGHTS",0.5,"m"
"M",1920,0.461784921825353,"HOSPNIGHTS",0.5,"m"
"T",1925,0.859060325785613,"HOSPNIGHTS",0.5,"m"
"A",1925,0.0528355517819338,"HOSPNIGHTS",0.5,"m"
"L",1925,0.723042965315101,"HOSPNIGHTS",0.5,"m"
"M",1925,0.510867505900949,"HOSPNIGHTS",0.5,"m"
"T",1905,0.689395895668529,"NH",0.5,"f"
"A",1905,0.674072991231144,"NH",0.5,"f"
